"created","ip","browser","storage","session_id","user_id","sid"
"02/18/13 08:21:16","96.25.174.12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) App","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>3d9o6660h3v22h930y3j88a5825c7l18d51h14q772y71ly107qbiaqx8y082116</string></var></struct></data></wddxPacket>","269644","0","3d9o6660h3v22h930y3j88a5825c7l18d51h14q772y71ly107qbiaqx8y082116"
"02/18/13 08:36:05","157.55.35.46","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>h43vmvwg6911kp3ko4x31jt37s072pmt24l7203tocvgu0e9n8tcp331b083605</string></var></struct></data></wddxPacket>","269645","0","h43vmvwg6911kp3ko4x31jt37s072pmt24l7203tocvgu0e9n8tcp331b083605"
"02/18/13 08:40:52","100.43.83.142","Mozilla/5.0 (compatible; YandexBot/3.0; +http://ya","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>a4q54pdr9a3v25yn9rep27hnfigcyzjnd9ns18robk36m9nffzvp5b2u42y084052</string></var></struct></data></wddxPacket>","269646","0","a4q54pdr9a3v25yn9rep27hnfigcyzjnd9ns18robk36m9nffzvp5b2u42y084052"
"02/18/13 08:56:16","123.125.71.99","Baiduspider-image+(+http://www.baidu.com/search/sp","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>5s668wu6fa2fa8cr6bquwpcxr30szl4bibc028754a3dra072085616</string></var></struct></data></wddxPacket>","269647","0","5s668wu6fa2fa8cr6bquwpcxr30szl4bibc028754a3dra072085616"
"02/18/13 09:12:11","96.25.174.12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) App","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>88vug8477hsota26ts001ur592b8prophvfacu81gv1z52u58c0r3s1d091020</string></var></struct></data></wddxPacket>","269648","0","88vug8477hsota26ts001ur592b8prophvfacu81gv1z52u58c0r3s1d091020"
"02/18/13 09:32:53","71.103.158.236","gimme60 (Gimme60 Store ID Bot; gimme60.com)","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>y3uz0v1d53y50y7395b58pkexo57q4z510g445902953b8lrmr800bc357t41v5v22093253</string></var></struct></data></wddxPacket>","269649","0","y3uz0v1d53y50y7395b58pkexo57q4z510g445902953b8lrmr800bc357t41v5v22093253"
"02/18/13 09:55:18","152.26.13.1","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1;","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>wtkm831hvmhd0paop2f4rx8nhjs5n84kwcm5q8374072fb5tb119qvjlrn094702</string></var></struct></data></wddxPacket>","269650","0","wtkm831hvmhd0paop2f4rx8nhjs5n84kwcm5q8374072fb5tb119qvjlrn094702"
"02/18/13 10:05:14","208.115.113.83","Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gm","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>qw6l4od7ekof2j7b049bs4and71v71ek72hz3s34ka881c4gj3wpd849c875q100514</string></var></struct></data></wddxPacket>","269651","0","qw6l4od7ekof2j7b049bs4and71v71ek72hz3s34ka881c4gj3wpd849c875q100514"
"02/18/13 10:09:18","173.208.150.250","Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://ww","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>8857z7504h937461fn1zy3mt4389qar2d3m7pl4jqjfc82q24f420an0d4100918</string></var></struct></data></wddxPacket>","269652","0","8857z7504h937461fn1zy3mt4389qar2d3m7pl4jqjfc82q24f420an0d4100918"
"02/18/13 10:09:20","173.208.150.250","Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://ww","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>10da64h7yzm9jnwpswl52ovzi0m824or3ilsw3p0i8q7mt4xy380bb0kjdd2100920</string></var></struct></data></wddxPacket>","269653","0","10da64h7yzm9jnwpswl52ovzi0m824or3ilsw3p0i8q7mt4xy380bb0kjdd2100920"
"02/18/13 10:09:22","173.208.150.250","Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://ww","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>8go3cti3wtni80ib93b2q75826v272d917hh8m646x8p1e0d694n36100922</string></var></struct></data></wddxPacket>","269654","0","8go3cti3wtni80ib93b2q75826v272d917hh8m646x8p1e0d694n36100922"
"02/18/13 10:09:24","173.208.150.250","Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://ww","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>401cnov8f49uk32snbr132jy30f49m0p5v209qg58j20i7xz963mcdvw350100924</string></var></struct></data></wddxPacket>","269655","0","401cnov8f49uk32snbr132jy30f49m0p5v209qg58j20i7xz963mcdvw350100924"
"02/18/13 10:09:25","173.208.150.250","Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://ww","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>8bfq06056o16j5qx1ymkhv5g1acmdt6568e9ls72bn5456pqb1nn3g5ec8kwja2100925</string></var></struct></data></wddxPacket>","269656","0","8bfq06056o16j5qx1ymkhv5g1acmdt6568e9ls72bn5456pqb1nn3g5ec8kwja2100925"
"02/18/13 10:09:27","173.208.150.250","Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://ww","<wddxPacket version='1.0'><header/><data><struct><var name='SID'><string>8l50d6dzt3xj0v6j102url6grzodte46ucx642n7y31f20j7100927</string></var></struct></data></wddxPacket>","269657","0","8l50d6dzt3xj0v6j102url6grzodte46ucx642n7y31f20j7100927"
